# Lantern Extractor - Light Instances
# Format: PosX, PosY, PosZ, Radius, ColorR, ColorG, ColorB
92.95636,-101.4314,18.8364,150,0.509804,0.509804,0
167.117,106.9112,18.8364,150,0.509804,0.509804,0
110.9365,147.946,17.83681,150,0.509804,0.509804,0
27.86037,215.3053,1.523142,150,0.509804,0.509804,0
-249.2815,-181.8252,9.276518,100,0.509804,0.509804,0.1176471
-344.9873,-198.7694,9.526919,150,0.509804,0.509804,0.1176471
-355.5574,-105.2756,38.26572,150,0.509804,0.509804,0.1176471
-325.2462,16.32137,45.51242,200,0.509804,0.509804,0
24.36177,-92.41135,-12.38236,150,0,0.509804,0.3921569
-22.88759,-91.57324,-12.38236,150,0,0.509804,0.3921569
-87.49138,-30.06532,-12.38236,150,0,0.509804,0.3921569
-89.0154,22.66437,-12.38236,150,0,0.509804,0.3921569
-27.84572,83.35825,-10.04652,150,0,0.509804,0.3921569
90.15777,30.65725,-10.04652,150,0,0.509804,0.3921569
91.73307,-19.92749,-10.04652,150,0,0.509804,0.3921569
60.26215,-39.80759,-6.426118,150,0,0.509804,0.3921569
60.86728,27.1807,-6.426118,150,0,0.509804,0.3921569
29.55973,60.30717,-6.426118,150,0,0.509804,0.3921569
-23.11515,62.72725,-6.426118,150,0,0.509804,0.3921569
-58.32537,36.19397,-6.426118,150,0,0.509804,0.3921569
-62.11083,-27.25118,-6.426118,150,0,0.509804,0.3921569
-31.66348,-67.80537,-6.426118,150,0,0.509804,0.3921569
28.41499,-56.99163,-6.426118,150,0,0.509804,0.3921569
28.37709,88.41807,-8.718586,150,0,0.509804,0.3921569
24.64937,-185.9387,36.96014,100,0,0.3921569,0.509804
-15.65167,-210.7034,36.96014,100,0,0.3921569,0.509804
-48.13761,-270.6866,36.96014,100,0.509804,0,0.3921569
-48.986,-292.9575,36.96014,100,0,0.3921569,0.509804
21.81205,-288.1613,36.96014,100,0,0.3921569,0.509804
17.25173,-272.767,42.5988,100,0.509804,0,0.3921569
61.5191,-274.8588,56.55022,100,0.509804,0,0.3921569
-38.60186,-246.7066,56.55022,100,0,0.3921569,0.509804
-76.45496,-302.3956,56.55022,100,0,0.3921569,0.509804
-29.15698,-308.5472,64.90638,100,0.509804,0,0.3921569
13.43496,-320.529,63.23593,100,0,0.3921569,0.509804
-14.11568,-267.3615,51.50642,100,0,0.3921569,0.509804
158.8585,151.0991,7.21721,100,0.509804,0.509804,0
136.0867,150.8055,7.21721,100,0.509804,0.509804,0
109.117,174.5695,8.276519,100,0.509804,0.509804,0
106.811,-129.789,6.96721,150,0.509804,0.509804,0.1960784
-0.1897265,-0.5564352,9.251,150,0.509804,0.509804,0.1960784
340.0045,-0.5757685,60.20416,250,0.509804,0.509804,0.1960784
280.7386,-0.5080004,63.08801,150,0.509804,0.509804,0.1960784
244.1384,0.8709049,59.22577,150,0.509804,0.509804,0.1960784
198.7799,-1.078643,32.6437,250,0.509804,0.509804,0.1960784
-334.6951,-155.6668,6.212898,150,0,0.509804,0.3921569
-333.532,-154.0653,204.8438,150,0,0.509804,0.3921569
-372.0905,-157.1088,7.118428,150,0,0.509804,0.3921569
-418.0869,-166.8682,3.936126,150,0,0.509804,0.3921569
-410.4101,-139.6851,3.936126,150,0,0.509804,0.3921569
-361.5911,-140.6826,3.936126,150,0,0.509804,0.3921569
-355.9247,-166.3121,3.936126,150,0,0.509804,0.3921569
-410.2216,-138.1893,14.41691,150,0,0.509804,0.3921569
-346.9988,-124.6486,36.97731,200,0.509804,0.509804,0.1960784
-335.5501,-186.8458,14.83113,200,0.509804,0.509804,0.1960784
-324.8392,8.225482,65.50684,200,0.509804,0.509804,0.1960784
-294.0184,-3.998222,53.67568,200,0.509804,0.509804,0.1960784
-99.53828,-141.4437,40.5665,200,0.509804,0.509804,0.1960784
-217.6953,-16.67248,45.71975,150,0,0.509804,0.3921569
-219.6547,10.71394,45.71975,150,0,0.509804,0.3921569
-52.45424,-114.6376,20.99335,150,0,0.509804,0.3921569
135.9403,-86.56922,20.99335,150,0,0.509804,0.3921569
66.68973,-124.2035,20.99335,150,0,0.509804,0.3921569
48.58929,141.2623,11.13224,150,0,0.509804,0.3921569
39.96729,181.3083,11.13113,150,0,0.509804,0.3921569
119.4221,45.53409,13.41187,150,0,0.509804,0.3921569
-197.5486,-152.4496,6.580821,150,0,0.509804,0.3921569
-173.9336,-163.9997,6.580821,150,0,0.509804,0.3921569
-199.4103,-131.5691,6.580821,150,0,0.509804,0.3921569
